city,lat,lng,country,iso2,admin_name,capital,population,population_proper
London,51.5072,-0.1275,United Kingdom,GB,"London, City of",primary,10979000,8825001
Birmingham,52.4800,-1.9025,United Kingdom,GB,Birmingham,,2897303,1137100
Manchester,53.4794,-2.2453,United Kingdom,GB,Manchester,,2705000,547627
Leeds,53.7997,-1.5492,United Kingdom,GB,Leeds,,1901934,789194
Newcastle,55.0077,-1.6578,United Kingdom,GB,Newcastle upon Tyne,,1650000,879996
Birstall,52.6736,-1.1200,United Kingdom,GB,Leicester,,1424216,1424216
Glasgow,55.8609,-4.2514,United Kingdom,GB,Glasgow City,,985290,633120
Liverpool,53.4000,-2.9833,United Kingdom,GB,Liverpool,,864122,513441
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,,855679,238800
Southampton,50.9000,-1.4000,United Kingdom,GB,Southampton,,855569,269781
Nottingham,52.9500,-1.1500,United Kingdom,GB,Nottingham,,768638,321500
Bristol,51.4500,-2.5833,United Kingdom,GB,"Bristol, City of",,724000,463400
Sheffield,53.3833,-1.4667,United Kingdom,GB,Sheffield,,685368,518090
Kingston upon Hull,53.7444,-0.3325,United Kingdom,GB,"Kingston upon Hull, City of",,573300,256406
Leicester,52.6333,-1.1333,United Kingdom,GB,Leicester,,508916,329839
Edinburgh,55.9530,-3.1890,United Kingdom,GB,"Edinburgh, City of",,488050,488050
Caerdydd,51.4833,-3.1833,United Kingdom,GB,Cardiff,,479000,361469
Stoke-on-Trent,53.0000,-2.1833,United Kingdom,GB,Stoke-on-Trent,,372775,249008
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,,362690,362690
Reading,51.4542,-0.9731,United Kingdom,GB,Reading,,337108,230046
Belfast,54.5964,-5.9300,United Kingdom,GB,Belfast,,333871,333871
Derby,52.9167,-1.4667,United Kingdom,GB,Derby,,270500,248700
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,,267918,267918
Wolverhampton,52.5833,-2.1333,United Kingdom,GB,Wolverhampton,,254406,250970
Abertawe,51.6167,-3.9500,United Kingdom,GB,Swansea,,245500,245500
Milton Keynes,52.0400,-0.7600,United Kingdom,GB,Milton Keynes,,229941,207057
Aberdeen,57.1500,-2.1100,United Kingdom,GB,Aberdeen City,,214610,214610
Norwich,52.6300,1.2970,United Kingdom,GB,Norfolk,,213166,195971
Luton,51.8783,-0.4147,United Kingdom,GB,Luton,,213052,213052
Islington,51.5440,-0.1027,United Kingdom,GB,Islington,,206125,206125
Swindon,51.5600,-1.7800,United Kingdom,GB,Swindon,,192599,182441
Croydon,51.3727,-0.1099,United Kingdom,GB,Croydon,,192064,192064
Basildon,51.5761,0.4886,United Kingdom,GB,Essex,,185900,185900
Bournemouth,50.7200,-1.8800,United Kingdom,GB,Bournemouth,,183491,183491
Worthing,50.8147,-0.3714,United Kingdom,GB,West Sussex,,183000,109120
Ipswich,52.0594,1.1556,United Kingdom,GB,Suffolk,,180000,180000
Middlesbrough,54.5767,-1.2355,United Kingdom,GB,Redcar and Cleveland,,174700,140545
Sunderland,54.9061,-1.3811,United Kingdom,GB,Sunderland,,174286,174286
Ilford,51.5588,0.0855,United Kingdom,GB,Redbridge,,168168,168168
Warrington,53.3917,-2.5972,United Kingdom,GB,Warrington,,165456,165456
Slough,51.5100,-0.5900,United Kingdom,GB,Slough,,164455,119070
Huddersfield,53.6450,-1.7798,United Kingdom,GB,Kirklees,,162949,162949
Oxford,51.7519,-1.2578,United Kingdom,GB,Oxfordshire,,154600,152000
York,53.9583,-1.0803,United Kingdom,GB,York,,153717,153717
Poole,50.7167,-1.9833,United Kingdom,GB,Poole,,151500,144800
Harrow,51.5836,-0.3464,United Kingdom,GB,Harrow,,149246,149246
Dundee,56.4620,-2.9707,United Kingdom,GB,Dundee City,,148270,148270
Saint Albans,51.7550,-0.3360,United Kingdom,GB,Hertfordshire,,147373,82146
Telford,52.6766,-2.4469,United Kingdom,GB,Telford and Wrekin,,142723,142723
Blackpool,53.8142,-3.0503,United Kingdom,GB,Blackpool,,139720,139305
Brighton,50.8429,-0.1313,United Kingdom,GB,Brighton and Hove,,134293,134293
Sale,53.4240,-2.3220,United Kingdom,GB,Trafford,,134022,134022
Enfield,51.6522,-0.0808,United Kingdom,GB,Enfield,,132640,132640
Tottenham,51.5880,-0.0720,United Kingdom,GB,Haringey,,129237,129237
Bolton,53.5780,-2.4290,United Kingdom,GB,Bolton,,128139,128139
Newport,51.5833,-3.0000,United Kingdom,GB,Newport,,128060,128060
High Wycombe,51.6287,-0.7482,United Kingdom,GB,Buckinghamshire,,125257,120256
Exeter,50.7167,-3.5333,United Kingdom,GB,Devon,,124180,124180
Solihull,52.4130,-1.7780,United Kingdom,GB,Solihull,,123187,123187
Romford,51.5768,0.1801,United Kingdom,GB,Havering,,122854,122854
Preston,53.7590,-2.6990,United Kingdom,GB,Lancashire,,122719,122719
Gateshead,54.9500,-1.6000,United Kingdom,GB,Gateshead,,120046,120046
Blackburn,53.7480,-2.4820,United Kingdom,GB,Blackburn with Darwen,,117963,117963
Cheltenham,51.9000,-2.0667,United Kingdom,GB,Gloucestershire,,116447,116447
Basingstoke,51.2667,-1.0876,United Kingdom,GB,Hampshire,,113776,107355
Maidstone,51.2720,0.5290,United Kingdom,GB,Kent,,113137,107627
Colchester,51.8917,0.9030,United Kingdom,GB,Essex,,111921,111921
Chelmsford,51.7361,0.4798,United Kingdom,GB,Essex,,111511,111511
Wythenshawe,53.3920,-2.2640,United Kingdom,GB,Manchester,,110000,110000
Doncaster,53.5150,-1.1330,United Kingdom,GB,Doncaster,,109805,109805
Rotherham,53.4300,-1.3570,United Kingdom,GB,Rotherham,,109691,109691
Walthamstow,51.5900,-0.0000,United Kingdom,GB,Waltham Forest,,109424,109424
Rochdale,53.6136,-2.1610,United Kingdom,GB,Rochdale,,107926,107926
Bedford,52.1350,-0.4700,United Kingdom,GB,Bedford,,106940,92407
Crawley,51.1092,-0.1872,United Kingdom,GB,West Sussex,,106597,106597
Mansfield,53.1500,-1.2000,United Kingdom,GB,Nottinghamshire,,106556,77551
Dagenham,51.5397,0.1422,United Kingdom,GB,Barking and Dagenham,,106247,106247
Stockport,53.4083,-2.1494,United Kingdom,GB,Stockport,,105878,105878
Darlington,54.5270,-1.5526,United Kingdom,GB,Darlington,,105564,92363
Fyfield,51.7390,0.2722,United Kingdom,GB,Essex,,104234,104234
Gillingham,51.3850,0.5500,United Kingdom,GB,Medway,,104157,104157
Salford,53.4830,-2.2931,United Kingdom,GB,Salford,,103886,103886
Eastbourne,50.7700,0.2800,United Kingdom,GB,East Sussex,,103745,101547
Wigan,53.5448,-2.6318,United Kingdom,GB,Wigan,,103608,103608
Hounslow,51.4668,-0.3750,United Kingdom,GB,Hounslow,,103337,103337
Wembley,51.5528,-0.2979,United Kingdom,GB,Brent,,102856,90045
Saint Helens,53.4541,-2.7461,United Kingdom,GB,St. Helens,,102629,102629
Worcester,52.1920,-2.2200,United Kingdom,GB,Worcestershire,,101328,101328
Wakefield,53.6800,-1.4900,United Kingdom,GB,Wakefield,,99251,99251
Lincoln,53.2344,-0.5386,United Kingdom,GB,Lincolnshire,,97541,97541
Hemel Hempstead,51.7526,-0.4692,United Kingdom,GB,Hertfordshire,,97500,94932
Watford,51.6550,-0.3957,United Kingdom,GB,Hertfordshire,,96800,90301
Oldham,53.5444,-2.1169,United Kingdom,GB,Oldham,,96555,96555
Sutton Coldfield,52.5630,-1.8220,United Kingdom,GB,Birmingham,,95107,95107
Kettering,52.3931,-0.7229,United Kingdom,GB,Northamptonshire,,93475,56226
Hastings,50.8500,0.5700,United Kingdom,GB,East Sussex,,92855,91053
Hartlepool,54.6900,-1.2100,United Kingdom,GB,Hartlepool,,92000,88855
Hove,50.8352,-0.1758,United Kingdom,GB,Brighton and Hove,,91900,91900
Barnsley,53.5537,-1.4791,United Kingdom,GB,Barnsley,,91297,91297
Southport,53.6475,-3.0053,United Kingdom,GB,Sefton,,90381,90381
Bath,51.3800,-2.3600,United Kingdom,GB,Bath and North East Somerset,,88859,88859
Birkenhead,53.3930,-3.0140,United Kingdom,GB,Wirral,,88818,88818
Grimsby,53.5595,-0.0680,United Kingdom,GB,North East Lincolnshire,,88243,88243
Halifax,53.7250,-1.8630,United Kingdom,GB,Calderdale,,88134,88134
